,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2015-09-01,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,
2015-10-03,,,,,,,,,,,,,,
2015-10-04,,,,,,,,,,,,,,
2015-10-05,,,,,,,,,,,,,,
2015-10-06,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,
2015-10-10,,,,,,,,,,,,,,
2015-10-11,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,
2015-10-17,,,,,,,,,,,,,,
2015-10-18,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,
2015-10-20,,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,
2015-10-22,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,
2015-10-24,,,,,,,,,,,,,,
